Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
"This USGS data file has been deprecated. To continue receiving updates for earthquake information you must switch to the new data format [http://earthquake.usgs.gov/earthquakes/feed/]. In the future, data feeds will be updated and deprecated following our official deprecation policy [http://earthquake.usgs.gov/earthquakes/feed/policy.php]."
nc,72100371,1,"Saturday, November  2, 2013 22:22:14 UTC",36.8017,-121.2722,1.9,10.00,36,"Central California"
nc,72100351,1,"Saturday, November  2, 2013 22:10:38 UTC",35.5820,-120.7765,1.5,4.50,22,"Central California"
ak,10836906,1,"Saturday, November  2, 2013 22:00:08 UTC",63.9454,-147.5878,1.3,21.00,15,"Central Alaska"
uu,60043442,2,"Saturday, November  2, 2013 21:54:53 UTC",38.9680,-111.4410,1.4,3.10, 5,"Utah"
ak,10836900,1,"Saturday, November  2, 2013 21:41:48 UTC",60.4915,-143.7207,1.6,0.20,13,"Southern Alaska"
hv,60586321,2,"Saturday, November  2, 2013 21:18:30 UTC",19.4175,-155.2600,1.8,2.60,24,"Island of Hawaii, Hawaii"
nn,00428265,1,"Saturday, November  2, 2013 21:15:30 UTC",36.6260,-115.5768,1.0,0.00, 8,"Nevada"
ak,10836893,2,"Saturday, November  2, 2013 21:14:57 UTC",61.9868,-153.7279,1.5,55.80, 3,"Southern Alaska"
nc,72100316,1,"Saturday, November  2, 2013 20:57:01 UTC",38.8220,-122.7973,1.6,3.10,34,"Northern California"
ak,10836884,1,"Saturday, November  2, 2013 20:53:12 UTC",61.6143,-151.5590,1.1,76.00, 4,"Southern Alaska"
hv,60586311,1,"Saturday, November  2, 2013 20:47:51 UTC",19.4468,-155.2850,1.9,1.50,16,"Island of Hawaii, Hawaii"
nn,00428260,1,"Saturday, November  2, 2013 20:47:09 UTC",40.0643,-119.6715,1.8,0.00,16,"Nevada"
nc,72100291,5,"Saturday, November  2, 2013 20:30:39 UTC",40.4708,-121.5230,2.3,5.10,22,"Lassen Peak area, California"
ak,10836875,1,"Saturday, November  2, 2013 20:26:23 UTC",63.9136,-147.3873,1.6,0.00,19,"Central Alaska"
uu,60043432,2,"Saturday, November  2, 2013 19:52:33 UTC",38.9582,-111.4015,2.2,0.80, 7,"Utah"
ak,10836868,1,"Saturday, November  2, 2013 19:38:28 UTC",60.1127,-150.9799,1.4,61.60, 5,"Kenai Peninsula, Alaska"
ak,10836858,1,"Saturday, November  2, 2013 19:22:44 UTC",61.5960,-148.2646,1.3,16.60, 8,"Southern Alaska"
nc,72100271,0,"Saturday, November  2, 2013 19:08:13 UTC",38.7990,-122.7582,1.1,2.30,21,"Northern California"
nc,71075704,2,"Saturday, November  2, 2013 19:08:13 UTC",38.7993,-122.7568,1.1,2.40,38,"Northern California"
nc,72100276,2,"Saturday, November  2, 2013 19:07:07 UTC",40.6318,-124.2765,1.5,19.80,12,"Northern California"
ak,10836835,1,"Saturday, November  2, 2013 18:57:22 UTC",60.2984,-141.0487,1.6,17.30, 7,"Southern Alaska"
nc,72100261,2,"Saturday, November  2, 2013 18:50:37 UTC",37.1352,-121.9402,1.2,4.00, 9,"Northern California"
nc,72100251,0,"Saturday, November  2, 2013 18:41:43 UTC",38.8098,-122.8123,1.2,2.30,20,"Northern California"
ak,10836783,1,"Saturday, November  2, 2013 18:25:47 UTC",63.3416,-149.9351,1.3,75.60, 7,"Central Alaska"
ci,11386842,6,"Saturday, November  2, 2013 18:23:10 UTC",34.7077,-116.2923,3.2,1.50,41,"Southern California"
ci,11386834,4,"Saturday, November  2, 2013 18:11:13 UTC",33.0390,-115.6088,1.1,9.40,23,"Southern California"
