ago-12,1,11.01
sep-12,2,11.1
oct-12,3,11.19
nov-12,4,11.28
dic-12,5,11.37
ene-13,6,12.47
feb-13,7,12.36
mar-13,8,12.25
abr-13,9,12.14
may-13,10,12.03
jun-13,11,11.92
jul-13,12,11.81
ago-13,13,11.7
sep-13,14,11.59
oct-13,15,11.48
,,
,,
,,
,,
,,
,,
,,
